From,To,Capacity,Length,FreeFlowTime,B,Power,SpeedLimit,CriticalSpeed,Lanes,overall_capacity,Overall_capacity
48,3293,1800.0,0.62,1.55,0.0,4.0,24,24.0,5,9000.0,9000.0
49,3409,1800.0,0.66,1.65,0.0,4.0,24,24.0,5,9000.0,9000.0
50,2191,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
51,3235,1800.0,0.31,0.775,0.0,4.0,24,24.0,5,9000.0,9000.0
52,3233,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
53,3234,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
54,1349,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
55,2756,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
56,2194,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
57,3171,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
58,2595,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
59,2186,1800.0,0.11,0.275,0.0,4.0,24,24.0,5,9000.0,9000.0
60,2755,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
61,2185,1800.0,0.36,0.9,0.0,4.0,24,24.0,5,9000.0,9000.0
62,2860,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
63,2555,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
64,3356,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
65,3232,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
66,3340,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
67,2753,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
68,3339,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
69,3360,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
70,3341,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
71,2533,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
72,2763,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
73,2590,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
74,2113,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
75,2111,1800.0,0.46,1.15,0.0,4.0,24,24.0,5,9000.0,9000.0
76,2179,1800.0,0.56,1.4,0.0,4.0,24,24.0,5,9000.0,9000.0
77,3330,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
78,3411,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
79,1339,1800.0,0.47,1.175,0.0,4.0,24,24.0,5,9000.0,9000.0
79,2750,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
80,1345,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
81,3434,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
82,2771,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
83,2117,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
84,3401,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
85,3400,1800.0,0.55,1.375,0.0,4.0,24,24.0,5,9000.0,9000.0
86,2754,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
87,2444,1800.0,1.09,2.725,0.0,4.0,24,24.0,5,9000.0,9000.0
88,3007,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
89,2752,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
90,2199,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
91,1988,100.0,1.72,4.3,0.0,4.0,24,24.0,5,500.0,500.0
91,3298,100.0,1.75,4.375,0.0,4.0,24,24.0,5,500.0,500.0
92,2086,1800.0,0.71,1.775,0.0,4.0,24,24.0,5,9000.0,9000.0
93,3297,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
94,2000,1800.0,0.38,0.95,0.0,4.0,24,24.0,5,9000.0,9000.0
95,2001,1800.0,0.47,1.175,0.0,4.0,24,24.0,5,9000.0,9000.0
96,2491,1800.0,0.43,1.075,0.0,4.0,24,24.0,5,9000.0,9000.0
97,1138,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
98,3300,1800.0,0.36,0.9,0.0,4.0,24,24.0,5,9000.0,9000.0
99,1986,1800.0,1.19,2.975,0.0,4.0,24,24.0,5,9000.0,9000.0
100,2596,1800.0,1.05,2.625,0.0,4.0,24,24.0,5,9000.0,9000.0
101,3399,1800.0,0.51,1.275,0.0,4.0,24,24.0,5,9000.0,9000.0
102,3284,1800.0,1.2,3.0,0.0,4.0,24,24.0,5,9000.0,9000.0
103,2475,1800.0,0.55,1.375,0.0,4.0,24,24.0,5,9000.0,9000.0
104,3038,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
105,3681,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
106,3276,1800.0,0.46,1.15,0.0,4.0,24,24.0,5,9000.0,9000.0
107,3272,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
108,3039,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
109,3747,1800.0,0.54,1.35,0.0,4.0,24,24.0,5,9000.0,9000.0
110,3660,1800.0,0.57,1.425,0.0,4.0,24,24.0,5,9000.0,9000.0
111,2547,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
112,2954,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
113,3359,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
114,3358,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
115,2952,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
116,3337,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
117,2591,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
118,2443,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
119,3283,100.0,0.82,2.05,0.0,4.0,24,24.0,5,500.0,500.0
119,3436,100.0,1.5,3.75,0.0,4.0,24,24.0,5,500.0,500.0
120,3285,1800.0,0.46,1.15,0.0,4.0,24,24.0,5,9000.0,9000.0
121,2195,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
122,3282,1800.0,0.56,1.4,0.0,4.0,24,24.0,5,9000.0,9000.0
123,2196,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
124,2204,1800.0,0.41,1.025,0.0,4.0,24,24.0,5,9000.0,9000.0
125,3685,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
126,3149,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
127,3281,1800.0,0.4,1.0,0.0,4.0,24,24.0,5,9000.0,9000.0
128,2593,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
129,2200,1800.0,0.59,1.475,0.0,4.0,24,24.0,5,9000.0,9000.0
130,2550,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
131,2201,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
132,1916,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
133,3274,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
134,3701,1800.0,0.73,1.825,0.0,4.0,24,24.0,5,9000.0,9000.0
135,3579,1800.0,0.52,1.3,0.0,4.0,24,24.0,5,9000.0,9000.0
136,3286,1800.0,1.86,4.65,0.0,4.0,24,24.0,5,9000.0,9000.0
137,1918,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
138,2597,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
139,3209,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
139,4764,1800.0,0.44,1.1,0.0,4.0,24,24.0,5,9000.0,9000.0
140,3414,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
141,2607,1800.0,0.06,0.15,0.0,4.0,24,24.0,5,9000.0,9000.0
142,1152,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
143,2608,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
144,3430,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
145,2376,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
146,2609,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
147,2610,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
148,2614,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
149,2388,1800.0,0.09,0.225,0.0,4.0,24,24.0,5,9000.0,9000.0
150,3225,1800.0,0.06,0.15,0.0,4.0,24,24.0,5,9000.0,9000.0
151,2390,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
152,3328,1800.0,0.09,0.225,0.0,4.0,24,24.0,5,9000.0,9000.0
153,2389,1800.0,0.09,0.225,0.0,4.0,24,24.0,5,9000.0,9000.0
154,2384,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
155,2383,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
156,3429,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
156,3424,1800.0,0.09,0.225,0.0,4.0,24,24.0,5,9000.0,9000.0
157,3871,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
158,1990,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
159,3415,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
160,1991,1800.0,0.57,1.425,0.0,4.0,24,24.0,5,9000.0,9000.0
161,1140,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
162,2092,1800.0,0.28,0.7,0.0,4.0,24,24.0,5,9000.0,9000.0
163,1140,1800.0,0.7,1.75,0.0,4.0,24,24.0,5,9000.0,9000.0
164,2926,1800.0,0.46,1.15,0.0,4.0,24,24.0,5,9000.0,9000.0
165,3412,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
166,2538,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
166,3889,1800.0,0.11,0.275,0.0,4.0,24,24.0,5,9000.0,9000.0
167,2188,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
168,2190,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
169,2441,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
170,3310,1800.0,0.81,2.025,0.0,4.0,24,24.0,5,9000.0,9000.0
171,2987,1800.0,0.36,0.9,0.0,4.0,24,24.0,5,9000.0,9000.0
172,3361,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
173,3362,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
174,2828,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
175,2829,1800.0,0.28,0.7,0.0,4.0,24,24.0,5,9000.0,9000.0
176,2563,1800.0,0.67,1.675,0.0,4.0,24,24.0,5,9000.0,9000.0
177,2826,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
178,3289,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
179,3291,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
180,2823,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
181,3289,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
182,2112,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
183,3732,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
184,2112,1800.0,0.53,1.325,0.0,4.0,24,24.0,5,9000.0,9000.0
185,3637,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
186,2184,1800.0,0.15,0.375,0.0,4.0,24,24.0,5,9000.0,9000.0
187,3304,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
188,3627,400.0,0.2,0.3,0.667,4.0,40,24.0,1,400.0,400.0
189,3435,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
190,2198,1800.0,0.68,1.7,0.0,4.0,24,24.0,5,9000.0,9000.0
191,3280,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
192,2193,1800.0,0.66,1.65,0.0,4.0,24,24.0,5,9000.0,9000.0
193,2542,1800.0,0.63,1.575,0.0,4.0,24,24.0,5,9000.0,9000.0
194,2481,1800.0,0.38,0.95,0.0,4.0,24,24.0,5,9000.0,9000.0
195,3313,1800.0,0.78,1.95,0.0,4.0,24,24.0,5,9000.0,9000.0
196,3015,1800.0,0.76,1.9,0.0,4.0,24,24.0,5,9000.0,9000.0
197,2515,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
198,1362,1800.0,0.57,1.425,0.0,4.0,24,24.0,5,9000.0,9000.0
199,3162,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
200,1906,1800.0,0.61,1.525,0.0,4.0,24,24.0,5,9000.0,9000.0
201,3014,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
202,2017,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
202,2197,1800.0,0.38,0.95,0.0,4.0,24,24.0,5,9000.0,9000.0
203,1352,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
204,4706,1800.0,0.08,0.2,0.0,4.0,24,24.0,5,9000.0,9000.0
205,2734,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
206,3236,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
207,2203,1800.0,0.35,0.875,0.0,4.0,24,24.0,5,9000.0,9000.0
208,3963,1800.0,0.33,0.825,0.0,4.0,24,24.0,5,9000.0,9000.0
209,1367,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
210,1983,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
211,3394,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
212,3295,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
213,2205,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
214,3296,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
215,3317,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
216,3317,1800.0,0.49,1.225,0.0,4.0,24,24.0,5,9000.0,9000.0
217,2209,1800.0,0.39,0.975,0.0,4.0,24,24.0,5,9000.0,9000.0
218,3569,1800.0,0.65,1.625,0.0,4.0,24,24.0,5,9000.0,9000.0
219,3320,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
220,3318,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
221,2208,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
222,3161,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
223,2549,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
224,2518,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
225,3163,1800.0,0.44,1.1,0.0,4.0,24,24.0,5,9000.0,9000.0
225,3962,1800.0,0.9,2.25,0.0,4.0,24,24.0,5,9000.0,9000.0
226,3319,1800.0,0.4,1.0,0.0,4.0,24,24.0,5,9000.0,9000.0
227,1356,1800.0,0.57,1.425,0.0,4.0,24,24.0,5,9000.0,9000.0
228,3378,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
229,2735,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
230,3163,1800.0,0.34,0.85,0.0,4.0,24,24.0,5,9000.0,9000.0
231,3568,1800.0,0.38,0.95,0.0,4.0,24,24.0,5,9000.0,9000.0
232,3183,1800.0,0.31,0.775,0.0,4.0,24,24.0,5,9000.0,9000.0
233,2912,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
234,2171,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
235,3305,1800.0,0.13,0.325,0.0,4.0,24,24.0,5,9000.0,9000.0
236,2035,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
237,4650,1800.0,0.09,0.225,0.0,4.0,24,24.0,5,9000.0,9000.0
238,3262,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
239,3263,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
240,1826,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
241,2034,100.0,0.22,0.55,0.0,4.0,24,24.0,5,500.0,500.0
241,2487,100.0,0.2,0.5,0.0,4.0,24,24.0,5,500.0,500.0
242,1646,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
243,2241,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
244,2494,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
245,3264,1800.0,0.4,1.0,0.0,4.0,24,24.0,5,9000.0,9000.0
246,2552,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
247,1675,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
248,2552,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
249,1669,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
250,2748,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
251,2554,1800.0,0.08,0.2,0.0,4.0,24,24.0,5,9000.0,9000.0
252,1634,1800.0,0.25,0.625,0.0,4.0,24,24.0,5,9000.0,9000.0
252,1679,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
253,2238,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
254,1623,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
255,2098,1800.0,0.17,0.425,0.0,4.0,24,24.0,5,9000.0,9000.0
256,1626,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
256,2556,1800.0,0.28,0.7,0.0,4.0,24,24.0,5,9000.0,9000.0
257,3425,1800.0,0.37,0.925,0.0,4.0,24,24.0,5,9000.0,9000.0
258,1659,1800.0,0.11,0.275,0.0,4.0,24,24.0,5,9000.0,9000.0
259,2779,400.0,0.25,0.625,0.0,4.0,24,24.0,5,2000.0,2000.0
259,3425,400.0,0.12,0.3,0.0,4.0,24,24.0,5,2000.0,2000.0
260,2215,1800.0,0.08,0.2,0.0,4.0,24,24.0,5,9000.0,9000.0
261,1660,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
262,2493,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
263,2211,1800.0,0.33,0.825,0.0,4.0,24,24.0,5,9000.0,9000.0
264,1664,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
265,2553,1800.0,0.11,0.275,0.0,4.0,24,24.0,5,9000.0,9000.0
266,2440,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
267,2221,1800.0,0.31,0.775,0.0,4.0,24,24.0,5,9000.0,9000.0
268,3036,100.0,0.32,0.8,0.0,4.0,24,24.0,5,500.0,500.0
268,3264,100.0,0.66,1.65,0.0,4.0,24,24.0,5,500.0,500.0
269,4648,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
270,2219,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
271,2202,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
272,2557,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
273,2559,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
274,3382,1800.0,0.14,0.35,0.0,4.0,24,24.0,5,9000.0,9000.0
275,2736,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
276,3413,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
277,3314,1800.0,0.16,0.4,0.0,4.0,24,24.0,5,9000.0,9000.0
278,3315,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
279,2553,1800.0,0.12,0.3,0.0,4.0,24,24.0,5,9000.0,9000.0
280,3845,1800.0,0.11,0.275,0.0,4.0,24,24.0,5,9000.0,9000.0
281,3247,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
282,3382,1800.0,0.49,1.225,0.0,4.0,24,24.0,5,9000.0,9000.0
283,2486,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
284,1483,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
285,2207,1800.0,0.33,0.825,0.0,4.0,24,24.0,5,9000.0,9000.0
286,2975,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
287,2975,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
288,2974,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
289,3348,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
290,2581,1800.0,0.42,1.05,0.0,4.0,24,24.0,5,9000.0,9000.0
291,3336,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
292,2783,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
293,2782,1800.0,0.33,0.825,0.0,4.0,24,24.0,5,9000.0,9000.0
294,1486,1800.0,0.24,0.6,0.0,4.0,24,24.0,5,9000.0,9000.0
295,2217,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
296,2222,1800.0,0.07,0.175,0.0,4.0,24,24.0,5,9000.0,9000.0
297,1476,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
298,1378,1800.0,0.39,0.975,0.0,4.0,24,24.0,5,9000.0,9000.0
299,2785,1800.0,0.3,0.75,0.0,4.0,24,24.0,5,9000.0,9000.0
300,1480,1800.0,0.72,1.8,0.0,4.0,24,24.0,5,9000.0,9000.0
301,3342,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
302,3343,1800.0,0.65,1.625,0.0,4.0,24,24.0,5,9000.0,9000.0
